Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
10001,"$88,526 ","22,924","37,306.60","14,141","$343,400 "
10002,"$35,859 ","74,993","85,369.80","35,724","$665,200 "
10003,"$112,131 ","54,682","94,859.60","30,876","$1,001,200 "
10004,"$157,645 ","3,028","5,622.90","2,139","$1,640,600 "
10005,"$173,333 ","8,831","121,496.40","5,585","$1,415,400 "
10006,"$176,250 ","3,454","37,014.10","2,343","$1,140,400 "
10007,"$246,813 ","7,023","44,029.00","3,366","$2,000,001 "
10009,"$61,548 ","57,925","93,905.60","31,293","$608,300 "
10010,"$117,923 ","33,730","88,379.60","18,535","$788,200 "
10011,"$128,613 ","50,472","76,262.90","33,707","$964,200 "
10012,"$109,037 ","23,411","72,416.20","14,052","$1,669,400 "
10013,"$105,442 ","28,709","52,176.50","14,144","$2,000,001 "
10014,"$126,601 ","30,738","55,916.60","21,531","$1,089,100 "
10016,"$117,004 ","51,057","95,951.40","34,638","$775,800 "
10017,"$127,506 ","15,801","49,849.90","12,650","$637,300 "
10018,"$108,914 ","9,687","30,002.00","5,940","$743,600 "
10019,"$98,833 ","43,703","62,718.50","33,077","$917,700 "
10021,"$118,289 ","46,215","121,297.40","30,729","$1,238,500 "
10022,"$135,363 ","31,125","72,810.30","24,206","$928,400 "
10023,"$130,452 ","62,435","127,409.50","41,492","$1,124,500 "
10024,"$131,668 ","59,001","68,752.40","34,032","$1,540,500 "
10025,"$85,930 ","92,805","123,470.60","48,359","$1,021,400 "
10026,"$58,884 ","39,363","118,443.80","17,091","$835,000 "
10027,"$46,113 ","64,548","74,280.20","26,506","$689,200 "
10028,"$125,140 ","47,793","152,562.20","28,983","$1,218,300 "
10029,"$34,016 ","79,597","98,058.80","34,108","$693,200 "
10030,"$37,232 ","29,882","107,115.20","13,940","$606,500 "
10031,"$49,891 ","60,254","92,805.80","23,802","$417,000 "
10032,"$50,391 ","64,264","98,152.90","22,574","$499,600 "
10033,"$58,614 ","59,607","99,980.20","20,794","$495,800 "
10034,"$54,716 ","42,910","39,355.30","16,650","$342,600 "
10035,"$30,081 ","35,743","25,093.70","15,531","$592,800 "
10036,"$91,936 ","27,428","62,443.40","19,779","$976,900 "
10037,"$45,041 ","21,139","82,131.90","10,583","$422,100 "
10038,"$86,058 ","22,800","76,365.60","11,720","$787,400 "
10039,"$39,653 ","27,726","63,397.40","11,939","$458,900 "
10040,"$47,137 ","44,571","116,782.20","17,282","$394,500 "
10044,"$100,441 ","11,682","50,775.40","5,427","$692,000 "
10065,"$127,375 ","28,109","73,936.20","21,156","$1,548,500 "
10069,"$110,625 ","5,085","52,882.60","3,402","$2,000,001 "
10075,"$137,146 ","21,556","117,012.20","12,599","$1,050,600 "
10128,"$114,010 ","59,256","127,237.00","34,790","$1,022,400 "
10280,"$169,844 ","9,384","81,760.20","5,234","$910,500 "
10301,"$55,802 ","38,733","10,918.00","16,366","$454,600 "
10302,"$64,103 ","18,204","15,312.20","6,877","$377,500 "
